id,fips_code,state,cemetery,county_name,graveid,birth_year,birth_month,death_year,death_month,reached_age,female,stone_type,persons_ingrave,floral,wheat,marriage_month,marriage_year,married,familyrole,military,patriotic,occupation,picture,nonrelig_symbol,verbal_nonrelig,verbal_love,othersecular,bible,fish,dove,praying,cross,lamb,angel,verbal_relig,other_religious
40,1073,AL,Elmwood Cemetery,Jefferson2,44795718,1933,4,2013,7,80.25,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1073,AL,Elmwood Cemetery,Jefferson2,82438506,1921,2,2011,2,90,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1073,AL,Elmwood Cemetery,Jefferson2,173560947,1930,9,2006,9,76,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1073,AL,Elmwood Cemetery,Jefferson2,159152469,1912,5,2000,3,87.833336,1,3,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1073,AL,Elmwood Cemetery,Jefferson2,155905142,1912,7,2007,4,94.75,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1073,AL,Elmwood Cemetery,Jefferson2,48990679,1926,3,2010,2,83.916664,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1073,AL,Elmwood Cemetery,Jefferson2,98040371,1929,7,2012,9,83.166664,0,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,1073,AL,Elmwood Cemetery,Jefferson2,155914457,1938,1,2012,9,74.666664,0,3,2,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,1073,AL,Elmwood Cemetery,Jefferson2,185913840,1919,11,2004,2,84.25,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
49,1073,AL,Elmwood Cemetery,Jefferson2,176328637,1919,9,2004,10,85.083336,1,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1073,AL,Elmwood Cemetery,Jefferson2,179146522,1911,2,2002,7,91.416664,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1073,AL,Elmwood Cemetery,Jefferson2,191448668,1971,10,2014,9,42.916668,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
52,1073,AL,Elmwood Cemetery,Jefferson2,67367548,1928,10,2009,3,80.416664,1,3,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1073,AL,Elmwood Cemetery,Jefferson2,106617866,1919,5,2009,9,90.333336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,1073,AL,Elmwood Cemetery,Jefferson2,170181492,1928,12,2011,2,82.166664,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
55,1073,AL,Elmwood Cemetery,Jefferson2,186410499,1911,4,2003,7,92.25,0,3,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1073,AL,Elmwood Cemetery,Jefferson2,39214294,1932,4,2007,9,75.416664,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1073,AL,Elmwood Cemetery,Jefferson2,156927839,1922,1,2002,3,80.166664,0,3,2,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,1073,AL,Elmwood Cemetery,Jefferson2,106386325,1920,1,2012,2,92.083336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1073,AL,Elmwood Cemetery,Jefferson2,112298786,1932,3,2011,6,79.25,0,3,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,1073,AL,Elmwood Cemetery,Jefferson2,126606133,1920,6,2007,7,87.083336,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1073,AL,Elmwood Cemetery,Jefferson2,147500029,1907,4,2000,10,93.5,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1073,AL,Elmwood Cemetery,Jefferson2,161606476,1930,10,2016,4,85.5,0,3,1,1,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,1073,AL,Elmwood Cemetery,Jefferson2,144642992,1913,7,2010,4,96.75,1,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1073,AL,Elmwood Cemetery,Jefferson2,64276796,1931,7,2000,1,68.5,0,3,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
65,1073,AL,Elmwood Cemetery,Jefferson2,173560449,1913,9,2008,4,94.583336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1073,AL,Elmwood Cemetery,Jefferson2,176987352,1939,3,2017,3,78,1,3,1,1,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,1073,AL,Elmwood Cemetery,Jefferson2,172636977,1933,8,2015,12,82.333336,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1073,AL,Elmwood Cemetery,Jefferson2,156240669,1922,8,2001,8,79,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,1073,AL,Elmwood Cemetery,Jefferson2,149546678,1921,12,2010,9,88.75,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1073,AL,Elmwood Cemetery,Jefferson2,135700970,1919,3,2000,9,81.5,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1073,AL,Elmwood Cemetery,Jefferson2,193544232,1918,12,2009,10,90.833336,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,1073,AL,Elmwood Cemetery,Jefferson2,156088719,1921,6,2011,2,89.666664,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1073,AL,Elmwood Cemetery,Jefferson2,69948915,1930,12,2011,5,80.416664,1,1,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,1073,AL,Elmwood Cemetery,Jefferson2,174339517,1928,12,2007,11,78.916664,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,1073,AL,Elmwood Cemetery,Jefferson2,152168114,1926,5,2008,5,82,1,3,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1073,AL,Elmwood Cemetery,Jefferson2,11915482,1910,,2005,4,95,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1073,AL,Elmwood Cemetery,Jefferson2,135621408,1923,4,2008,10,85.5,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
78,1073,AL,Elmwood Cemetery,Jefferson2,12656147,1965,9,2005,12,40.25,1,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,1073,AL,Elmwood Cemetery,Jefferson2,147718239,1959,11,2003,8,43.75,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1073,AL,Elmwood Cemetery,Jefferson2,58491868,1918,8,2003,12,85.333336,1,3,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,1073,AL,Elmwood Cemetery,Jefferson2,120210816,1908,6,2003,12,95.5,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1073,AL,Elmwood Cemetery,Jefferson2,84643014,1920,9,2003,12,83.25,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,1073,AL,Elmwood Cemetery,Jefferson2,110935038,1916,2,2010,4,94.166664,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1073,AL,Elmwood Cemetery,Jefferson2,151263128,1915,11,2002,3,86.333336,0,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1073,AL,Elmwood Cemetery,Jefferson2,187013509,1979,,2002,,23,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1073,AL,Elmwood Cemetery,Jefferson2,75644665,1916,9,2005,3,88.5,1,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,1073,AL,Elmwood Cemetery,Jefferson2,183548224,1907,10,2001,2,93.333336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1073,AL,Elmwood Cemetery,Jefferson2,42142324,1916,9,2009,9,93,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1073,AL,Elmwood Cemetery,Jefferson2,193543957,1921,4,2013,12,92.666664,0,3,1,1,0,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1073,AL,Elmwood Cemetery,Jefferson2,106939902,1924,8,2011,10,87.166664,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1073,AL,Elmwood Cemetery,Jefferson2,170597802,1940,,2005,,65,0,3,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1073,AL,Elmwood Cemetery,Jefferson2,153181731,1923,7,2015,3,91.666664,1,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,1073,AL,Elmwood Cemetery,Jefferson2,133794814,1922,8,2000,12,78.333336,0,3,2,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,1073,AL,Elmwood Cemetery,Jefferson2,86698292,1927,5,2012,2,84.75,0,3,1,0,0,,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,1073,AL,Elmwood Cemetery,Jefferson2,192427083,1947,,2002,,55,0,1,3,0,0,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
96,1073,AL,Elmwood Cemetery,Jefferson2,86610219,1948,1,2012,3,64.166664,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1073,AL,Elmwood Cemetery,Jefferson2,186769688,1906,6,2000,5,93.916664,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1073,AL,Elmwood Cemetery,Jefferson2,65874754,1904,11,2008,2,103.25,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1073,AL,Elmwood Cemetery,Jefferson2,192123700,1937,1,2006,12,69.916664,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1073,AL,Elmwood Cemetery,Jefferson2,192554199,1926,7,2004,11,78.333336,0,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6045,CA,Ukiah Cemetery,Mendocino,29013588,1912,9,2000,3,87.5,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
102,6045,CA,Ukiah Cemetery,Mendocino,22606704,1933,9,2002,3,68.5,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6045,CA,Ukiah Cemetery,Mendocino,29013241,1973,7,2000,3,26.666666,0,1,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,6045,CA,Ukiah Cemetery,Mendocino,29013279,1908,2,2005,1,96.916664,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6045,CA,Ukiah Cemetery,Mendocino,169196004,1912,7,2016,7,104,0,3,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6045,CA,Ukiah Cemetery,Mendocino,105975490,1917,2,2006,2,89,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,6045,CA,Ukiah Cemetery,Mendocino,185029752,1988,12,2010,5,21.416666,0,3,1,0,0,,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
108,6045,CA,Ukiah Cemetery,Mendocino,86953798,1922,8,2000,3,77.583336,1,1,2,0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6045,CA,Ukiah Cemetery,Mendocino,104540059,1948,,2008,9,60,0,1,2,0,0,,,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
