fip,rel_adh
6085,36.654034
6087,28.076349
6089,21.730412
6091,17.92407
6093,25.506824
6095,33.818306
6097,28.966034
6099,38.077339
6101,26.886456
6103,25.591261
6105,14.470047
6107,43.754906
6109,33.374779
6111,39.916649
6113,29.172678
6115,24.507769
8001,26.318359
8003,60.318855
8005,30.322449
8007,60.24054
8009,34.832783
8011,33.041767
8013,37.738831
8015,46.466988
8017,53.194542
8019,13.071833
8021,42.72047
8023,
8025,27.814487
8027,32.873226
8029,30.871807
8031,42.678665
8033,22.312626
8035,27.164631
8037,30.0651
8039,9.0400019
8041,31.66164
8043,35.687111
8045,24.235626
8047,
8049,21.597469
8051,37.348976
8053,33.126377
8055,59.902851
8057,22.968466
8059,32.155708
8061,
8063,60.300987
8065,45.186165
8067,32.892193
8069,36.077793
8071,82.824051
8073,36.378624
8075,38.606396
8077,25.05456
8079,59.011078
8081,25.753582
8083,22.824936
8085,23.860073
8087,52.430824
8089,75.838425
8091,21.235617
8093,10.133097
8095,59.58828
8097,12.649704
8099,52.949364
8101,56.344093
8103,26.172726
8105,58.019234
8107,27.428265
8109,46.819122
8111,37.370232
8113,27.862406
8115,54.284729
8117,17.370861
8119,23.285934
8121,44.82143
8123,30.391186
8125,54.815147
9001,60.40377
9003,48.726692
9005,45.823048
9007,45.959801
9009,46.703941
9011,42.115562
9013,42.206379
9015,46.067986
10001,29.500744
10003,40.982372
10005,32.77459
11001,47.772743
12001,33.079231
12003,24.745022
12005,38.687317
12007,43.694191
12009,34.168568
12011,31.648388
12013,31.037189
12015,35.475677
12017,31.958517
12019,40.367493
12021,33.278328
12023,33.475883
12027,33.89753
12029,35.281181
12031,43.972626
12033,46.25399
12035,33.585213
12037,32.159767
12039,27.894903
12041,
12043,26.933193
12045,43.093822
12047,30.289831
12049,58.613495
12051,24.693848
12053,34.455696
12055,33.066177
12057,36.232983
12059,49.027107
12061,46.924133
12063,39.40974
12065,37.782158
12067,45.791611
12069,36.413277
12071,35.675129
12073,35.299896
12075,37.660164
12077,
12079,40.885513
12081,34.816883
12083,32.977448
12085,41.744133
12086,33.815289
12087,28.644394
12089,45.719444
12091,42.370361
12093,33.661362
12095,37.239491
12097,29.397827
12099,35.282524
12101,25.432465
12103,30.147388
12105,39.16037
12107,36.416206
12109,34.637848
12111,31.192652
12113,41.502258
12115,41.332043
12117,36.330513
12119,25.755245
12121,46.908928
12123,45.783184
12125,
12127,33.463509
12129,20.259861
12131,34.461674
12133,37.097645
13001,78.576118
13003,34.119278
13005,50.03722
13007,
13009,27.543268
13011,
13013,34.156872
13015,43.0718
13017,61.127808
