,index,0
212,48171.0,9
213,36101.0,60
214,41001.0,9
215,25009.0,158
216,37063.0,23
217,41019.0,23
218,42101.0,159
219,13087.0,11
220,45049.0,9
221,55103.0,16
222,26113.0,9
223,12017.0,13
224,55133.0,66
225,31055.0,84
226,42123.0,27
227,54025.0,13
228,50023.0,36
229,20077.0,11
230,17131.0,20
231,26085.0,2
232,48177.0,16
233,28047.0,40
234,47183.0,23
235,19175.0,12
236,42077.0,75
237,27085.0,25
238,42013.0,90
239,13167.0,7
240,42045.0,192
241,55123.0,23
242,5057.0,10
243,29185.0,11
244,28067.0,24
245,41043.0,26
246,20059.0,13
247,12057.0,80
248,37051.0,37
249,40005.0,9
250,19007.0,13
251,19109.0,18
252,17201.0,54
253,36073.0,22
254,29183.0,28
255,21051.0,10
256,40101.0,46
257,,1
258,17163.0,55
259,28079.0,11
260,,1
261,,1
262,37181.0,3
263,48373.0,15
264,46099.0,37
265,23001.0,36
266,39029.0,55
267,47111.0,13
268,5063.0,12
269,27013.0,14
270,48025.0,5
271,26075.0,65
272,45063.0,18
273,46027.0,7
274,,1
275,47187.0,28
276,18103.0,25
277,48223.0,28
278,47141.0,23
279,18007.0,5
280,36089.0,86
281,18109.0,23
282,37173.0,5
283,51103.0,7
284,,1
285,38023.0,4
286,8059.0,67
287,39109.0,39
288,39049.0,148
289,,1
290,13185.0,23
291,24029.0,6
292,8073.0,3
293,36021.0,27
294,,1
295,42109.0,12
296,,1
297,33011.0,82
298,47109.0,14
299,39025.0,44
300,23009.0,34
301,22005.0,12
302,21117.0,40
303,37193.0,25
304,24027.0,27
305,20103.0,42
306,39009.0,25
307,48251.0,18
308,34015.0,39
309,,1
310,6065.0,124
311,17097.0,47
312,55007.0,7
313,5031.0,21
314,21147.0,14
315,48145.0,18
316,39103.0,52
317,38039.0,4
318,13121.0,86
319,,1
320,48073.0,21
321,36077.0,43
322,,1
323,41007.0,16
324,40113.0,20
325,48249.0,6
326,25027.0,167
327,11001.0,72
328,40081.0,21
329,33013.0,40
330,37071.0,35
331,,1
332,31083.0,6
333,6081.0,202
334,,1
335,6015.0,8
336,42003.0,361
337,9011.0,78
338,55079.0,208
339,25021.0,87
340,17115.0,66
341,22017.0,35
342,6019.0,83
343,1007.0,15
344,16083.0,21
345,18097.0,135
346,6001.0,106
347,6041.0,14
348,39077.0,22
349,31001.0,6
350,19009.0,4
351,36107.0,30
352,,1
353,,1
354,26041.0,20
355,20159.0,7
356,18181.0,13
357,,1
358,26065.0,36
359,,1
360,34019.0,29
361,29101.0,13
362,,1
363,39141.0,20
364,55031.0,11
365,29025.0,7
366,47103.0,18
367,45001.0,2
368,,1
369,,1
370,42079.0,79
371,5051.0,24
372,9009.0,144
373,16069.0,15
374,44001.0,9
375,26111.0,14
376,,1
377,51089.0,7
378,,1
379,29021.0,33
380,40121.0,21
381,42063.0,33
382,48001.0,15
383,31147.0,11
384,1073.0,120
385,6097.0,50
386,17113.0,43
387,9003.0,210
388,5131.0,43
389,35061.0,1
390,37047.0,19
391,21213.0,13
392,34023.0,86
393,,1
394,28155.0,17
395,28143.0,4
396,,1
397,42019.0,41
398,53065.0,8
399,32003.0,75
400,19107.0,19
401,48245.0,56
402,47079.0,16
403,55115.0,15
404,20073.0,11
405,,1
406,19173.0,10
407,45057.0,20
408,,1
409,1043.0,31
410,48027.0,43
411,55097.0,27
412,17177.0,34
413,,1
414,36005.0,51
415,55055.0,22
416,55025.0,55
417,18039.0,52
418,12081.0,29
419,51047.0,11
420,29161.0,12
421,13093.0,8
422,,1
423,39089.0,50
424,55049.0,8
425,16011.0,12
426,48067.0,12
427,42001.0,44
428,,1
429,41069.0,3
430,37155.0,30
431,21137.0,15
432,,1
433,39007.0,46
434,17053.0,14
435,34001.0,42
436,21157.0,13
437,19033.0,31
438,55065.0,9
439,12099.0,45
440,39063.0,45
441,20021.0,29
442,,1
443,13215.0,30
444,13175.0,20
445,27117.0,10
446,21053.0,9
447,53053.0,102
448,39045.0,36
449,17059.0,5
450,38015.0,16
451,48113.0,244
452,55061.0,8
453,55067.0,7
454,1125.0,44
455,36015.0,46
456,18015.0,18
457,45003.0,31
458,,1
459,48293.0,14
460,35047.0,6
461,54097.0,14
462,54047.0,6
463,,1
464,22019.0,34
465,22071.0,102
466,,1
467,33009.0,35
468,20037.0,32
469,18085.0,25
470,,1
471,17111.0,40
472,24017.0,15
473,16057.0,7
474,,1
475,26045.0,34
476,6095.0,52
477,47163.0,34
478,49035.0,125
479,27119.0,9
480,26025.0,58
481,36123.0,7
482,47065.0,48
483,17065.0,14
484,13139.0,37
485,,1
486,6075.0,14
487,,1
488,54081.0,29
489,21085.0,7
490,21191.0,13
491,21097.0,12
492,29049.0,11
