FIPS,COUNT,TOT_POP,CAPITA
20167,14,6946,0.0020155485
28015,21,10423,0.002014775
42113,13,6461,0.0020120724
48285,39,19468,0.0020032874
27069,9,4493,0.002003116
29115,25,12484,0.0020025633
20053,13,6494,0.0020018479
18009,25,12502,0.0019996801
40069,22,11003,0.0019994547
5047,36,18045,0.0019950125
20197,14,7039,0.0019889189
48145,35,17610,0.0019875071
19175,25,12594,0.0019850723
28007,38,19157,0.0019836091
36049,54,27224,0.0019835439
54071,15,7566,0.0019825535
38097,16,8072,0.0019821606
5147,14,7100,0.001971831
23029,64,32462,0.0019715359
31073,4,2029,0.0019714145
48079,6,3046,0.0019697965
27173,20,10158,0.0019688915
29025,18,9145,0.0019682887
19183,43,21914,0.0019622159
48419,51,26019,0.0019601061
20137,11,5612,0.0019600855
19131,21,10725,0.001958042
54017,16,8178,0.0019564686
19129,29,14837,0.001954573
54085,20,10236,0.0019538882
46023,18,9216,0.001953125
48421,6,3073,0.0019524894
27129,30,15369,0.0019519813
40063,27,13836,0.001951431
17085,44,22549,0.001951306
40045,8,4104,0.0019493177
20115,24,12347,0.001943792
55047,37,19039,0.0019433794
17173,43,22196,0.001937286
16059,15,7758,0.001933488
20085,26,13449,0.0019332292
48023,7,3623,0.0019321005
13003,16,8284,0.0019314341
30039,6,3109,0.001929881
50005,60,31121,0.0019279586
17101,32,16604,0.0019272464
29121,30,15573,0.0019264111
38005,13,6760,0.0019230769
47087,22,11441,0.0019229088
18171,16,8342,0.0019180053
17057,70,36651,0.001909907
29177,44,23064,0.001907735
48235,3,1573,0.0019071837
31059,11,5771,0.0019060821
21169,19,9969,0.0019059083
21061,23,12071,0.0019053931
31131,30,15747,0.0019051248
48429,18,9464,0.0019019442
55065,32,16853,0.0018987717
29083,42,22153,0.0018959057
28037,15,7918,0.0018944178
21105,9,4754,0.0018931426
30109,2,1057,0.0018921476
39053,58,30708,0.0018887586
31081,17,9011,0.0018865831
29133,27,14322,0.0018852116
5013,10,5307,0.0018843037
36017,94,49933,0.0018825226
31161,10,5319,0.0018800526
31181,7,3725,0.0018791946
5141,32,17030,0.001879037
19087,38,20236,0.0018778415
16041,24,12786,0.001877053
20027,16,8531,0.0018755128
18025,20,10665,0.001875293
18121,32,17069,0.0018747437
31039,17,9072,0.0018738977
48447,3,1601,0.0018738289
20041,37,19762,0.0018722801
17181,33,17647,0.0018700062
19067,30,16056,0.0018684604
8009,7,3751,0.001866169
21045,30,16082,0.0018654396
29117,28,15037,0.0018620736
19009,11,5910,0.0018612521
20191,44,23674,0.001858579
29065,29,15647,0.0018533904
21075,12,6525,0.0018390805
20025,4,2181,0.0018340211
20063,5,2729,0.001832173
31159,31,16935,0.0018305285
19005,26,14237,0.0018262274
19079,28,15344,0.0018248175
38009,12,6579,0.0018239854
1037,20,10966,0.0018238191
18155,19,10424,0.0018227168
31145,20,10975,0.0018223235
48331,44,24157,0.0018214182
31127,13,7154,0.0018171652
17125,26,14327,0.0018147554
31139,13,7166,0.0018141222
39163,24,13239,0.0018128257
18165,29,16040,0.00180798
46125,15,8308,0.0018054887
20107,17,9441,0.0018006567
19069,19,10554,0.0018002653
51169,41,22781,0.0017997454
42015,113,62792,0.0017995923
20181,11,6113,0.0017994438
17015,27,15011,0.001798681
54007,26,14468,0.0017970694
21143,15,8351,0.0017961921
18017,69,38581,0.0017884451
13317,18,10076,0.0017864232
48327,4,2240,0.0017857143
47027,14,7840,0.0017857143
5117,15,8458,0.0017734689
40053,8,4516,0.0017714792
29229,33,18629,0.0017714316
46059,6,3388,0.0017709563
19187,66,37273,0.0017707188
19197,23,12991,0.0017704565
31041,19,10740,0.0017690875
18161,13,7362,0.0017658245
42105,31,17577,0.0017636684
20035,64,36288,0.0017636684
39107,72,40875,0.0017614679
18055,58,32940,0.0017607772
41001,28,15909,0.0017600101
42059,67,38085,0.0017592228
18083,67,38122,0.0017575153
19133,16,9124,0.0017536168
18021,47,26837,0.0017513135
21053,18,10285,0.0017501215
20151,17,9728,0.0017475329
19091,17,9729,0.0017473533
17139,26,14933,0.0017411103
41055,3,1732,0.0017321016
27023,21,12135,0.0017305315
5083,38,21983,0.0017286085
38049,10,5789,0.0017274141
27033,20,11597,0.0017245839
29107,57,33080,0.0017230955
48125,4,2323,0.0017219113
38099,19,11046,0.0017200797
46097,4,2326,0.0017196905
17011,59,34323,0.001718964
26133,40,23276,0.0017185083
31035,11,6411,0.001715801
48147,58,33831,0.0017144039
47133,38,22190,0.0017124831
48077,18,10535,0.0017085904
38021,9,5268,0.0017084282
19125,57,33419,0.0017056166
17005,30,17644,0.0017002947
21139,16,9423,0.001697973
42065,76,44764,0.0016977929
17147,28,16504,0.0016965584
40081,58,34189,0.0016964521
40105,18,10611,0.0016963528
46107,4,2359,0.0016956337
27089,16,9449,0.0016933009
8021,14,8275,0.0016918429
46057,10,5918,0.0016897601
31037,18,10653,0.0016896649
31023,14,8295,0.0016877637
1075,24,14259,0.0016831475
28159,32,19029,0.0016816438
30019,3,1786,0.0016797312
18147,35,20837,0.0016797044
8115,4,2383,0.0016785564
28019,14,8346,0.0016774503
23021,29,17290,0.0016772701
18069,62,36987,0.0016762646
20195,5,2986,0.0016744809
31185,23,13746,0.001673214
21121,53,31735,0.0016700804
46067,12,7187,0.0016696814
27151,16,9594,0.001667709
29153,16,9601,0.0016664931
30097,6,3605,0.0016643551
13239,4,2404,0.0016638935
50027,93,56211,0.0016544804
36077,102,61709,0.0016529193
31021,11,6659,0.0016518997
42005,113,68409,0.0016518294
22111,37,22419,0.0016503858
29179,11,6667,0.0016499175
38043,4,2426,0.0016488046
19027,34,20631,0.0016480054
19105,34,20639,0.0016473666
17047,11,6684,0.0016457211
27055,31,18837,0.0016456973
46053,7,4265,0.0016412661
26071,19,11587,0.0016397687
48161,32,19515,0.0016397643
18049,34,20737,0.0016395814
48503,30,18339,0.001635858
21177,51,31181,0.0016356114
56027,4,2456,0.0016286645
20037,64,39361,0.0016259749
40033,10,6155,0.0016246954
17055,64,39407,0.0016240769
40061,21,12938,0.0016231257
17177,76,46959,0.0016184331
5121,29,17930,0.001617401
16037,7,4331,0.0016162549
37177,7,4338,0.0016136468
17041,32,19853,0.0016118471
40133,41,25450,0.001611002
21097,30,18624,0.0016108247
18169,52,32361,0.0016068725
48289,27,16803,0.0016068559
29123,20,12448,0.0016066838
21001,30,18675,0.0016064257
13061,5,3116,0.0016046213
19015,42,26195,0.0016033594
17107,48,30013,0.001599307
30093,55,34403,0.0015986978
46039,7,4380,0.0015981735
29053,28,17520,0.0015981735
